,cls_acc,cls_f1_macro,adv_acc,cls_acc_ci95,cls_f1_ci95,adv_acc_ci95,type,cls_errors,adv_errors,adv_acc_answered_only,inconclusive
Claude-Opus-4.7,0.7305555555555555,0.7211795463867624,0.9958333333333333,"(0.6833333333333333, 0.7722222222222223)","(0.6747440729348616, 0.7603084705145315)","(0.9875, 1.0)",llm,0,0,,
TF-IDF-LogReg,0.6916666666666667,0.6828336973006489,0.9833333333333333,"(0.6472222222222223, 0.7388888888888889)","(0.6355304033099693, 0.7285565708576086)","(0.9625, 0.9958333333333333)",statistical,0,0,,
Sabia-4,0.75,0.7465899403239556,0.9708333333333333,"(0.7027777777777777, 0.7916666666666666)","(0.6991069585311994, 0.78693331010912)","(0.9458333333333333, 0.9916666666666667)",llm,0,0,,
Claude-Sonnet-4.6,0.7694444444444445,0.7659537040881611,0.8083333333333333,"(0.725, 0.8111111111111111)","(0.7228349670337973, 0.8047507447175591)","(0.7582291666666666, 0.8541666666666666)",llm,0,45,,
Mistral-Large-3,0.5138888888888888,0.4382842409344754,0.775,"(0.4583333333333333, 0.5666666666666667)","(0.3976835260021953, 0.47412065122028757)","(0.7208333333333333, 0.825)",llm,87,49,,
BERTimbau-base,0.34444444444444444,0.33327878711909126,0.6166666666666667,"(0.2972222222222222, 0.39444444444444443)","(0.28560903085705064, 0.3812126003523806)","(0.5541666666666667, 0.6791666666666667)",embedding_supervised,0,0,,
LegalBert-pt,0.33611111111111114,0.3341429204653188,0.6125,"(0.28888888888888886, 0.3834027777777774)","(0.2856849179092956, 0.3816278850362682)","(0.55, 0.675)",embedding_supervised,0,0,,
GAIA,0.34444444444444444,0.3420259958306369,0.5958333333333333,"(0.2972222222222222, 0.39444444444444443)","(0.29334113490277575, 0.3899166871122433)","(0.5333333333333333, 0.6541666666666667)",embedding_supervised,0,0,,
JurisBERT,0.3527777777777778,0.350510369571505,0.5541666666666667,"(0.3082638888888889, 0.40555555555555556)","(0.30362460172060257, 0.4011843947412761)","(0.4875, 0.6166666666666667)",embedding_supervised,0,0,,
Random-Baseline,0.3388888888888889,0.33948285434473013,0.5041666666666667,"(0.2916666666666667, 0.3888888888888889)","(0.2896685508466017, 0.38872139786153304)","(0.44166666666666665, 0.5666666666666667)",statistical,,,,
multilíngue BERT,0.3388888888888889,0.2757600215227334,0.5,"(0.2916666666666667, 0.3861111111111111)","(0.2358451169188931, 0.31576897641716156)","(0.4375, 0.5625)",finetuned_encoder,0,0,,
Majority-Baseline,0.3333333333333333,0.16666666666666666,0.49583333333333335,"(0.2833333333333333, 0.38333333333333336)","(0.14718614718614717, 0.18473895582329317)","(0.43333333333333335, 0.5583333333333333)",statistical,,,,
RoBERTaLexPT-base,0.3333333333333333,0.33329860568491604,0.475,"(0.28888888888888886, 0.38333333333333336)","(0.2885468099305196, 0.38194426973546947)","(0.4083333333333333, 0.5375)",finetuned_encoder,0,0,,
Sabia-4-CoT,,,0.2708333333333333,,,"(0.2125, 0.3333333333333333)",llm_cot,,115,0.52,0
Claude-Sonnet-4.6-CoT,,,0.25,,,"(0.19583333333333333, 0.30416666666666664)",llm_cot,,114,0.47619047619047616,0
Mistral-Large-3-CoT,,,0.20416666666666666,,,"(0.15416666666666667, 0.25416666666666665)",llm_cot,,140,0.49,0
